YEAR,INDICATOR_NAME,DATA_VALUE,DATA_SOURCE_NAME,DATABASE_NAME,PRODUCT,PRODUCT_DESCRIPTION,INDICATOR_TYPE,CATEGORY,CONTACT,FREQUENCY,AKFIN,ESR,PRELIMINARY,REPORT_CARD_TITLE,INTENDED_ESP_NAME,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,UNITS,INDICATOR_ORDER,REGION,TIME_START,TIME_END,STATUS_TRENDS,INFLUENTIAL_FACTORS,REFERENCE,DATA_SOURCE_DESCRIPTION
2010,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,65,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2009,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,70,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2008,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,79,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2007,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,73,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2006,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,81,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2005,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,89,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2004,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,251,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2003,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,250,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2002,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,242,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2001,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,230,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2000,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,244,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1999,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,258,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1998,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,275,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1997,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,257,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1996,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,197,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1995,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,0,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1993,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,292,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1992,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,280,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1991,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,300,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1990,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,241,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1989,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,207,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1988,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,200,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1987,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,230,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1986,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,157,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1985,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,125,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1984,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,89,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1983,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,0,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1982,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,89,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1981,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,177,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1980,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,236,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1979,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,236,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1978,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,162,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1977,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,130,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1976,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,141,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1975,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,102,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1974,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,104,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1973,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,67,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1972,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,64,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1971,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,52,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
1970,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,51,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
